Parameter,Value,Value Litt,Range,List,Integer,Type,Unit,Description,Source
Pi_SAA_Ag_Epi,"[100, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1,TRUE,TRUE,FALSE,Production,s.u.,Production of SAA by Epithelial cell due to free eAg in the lumen,
Pi_SAA_Ag_sEpi,"[100, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1,TRUE,TRUE,FALSE,Production,s.u.,Production of SAA by stem Epithelial cell due to free eAg in the lumen,
Pi_IL10_IEL,0.434584197,1.76,TRUE,FALSE,FALSE,Production,mm/10^3cells.d,Production of IL10 by Intra Epithelial Lymphocyte,Chaundry2011
lambda_sEpi_K,3,0.357,TRUE,FALSE,FALSE,Proliferation,1/d,Basic proliferation rate of stem Epithelial cell,Itzkovitz2012
lambda_Epi_K,3,0.357,TRUE,FALSE,FALSE,Proliferation,1/d,Basic proliferation rate of Epithelial cell,Itzkovitz2012
lambda_TH17_0,5.00E-02,3.217,TRUE,FALSE,FALSE,Proliferation,s.u.,Basic proliferation rate of TH17,Stone2009/Bowers2017
lambda_Treg_0,5.00E-02,<3.217,TRUE,FALSE,FALSE,Proliferation,s.u.,Basic proliferation rate of Treg,Stone2009/Bowers2017
lambda_sTH17_0,0.01,3.217,TRUE,FALSE,FALSE,Proliferation,s.u.,Basic proliferation rate of stabilized TH17,Stone2009/Bowers2017
lambda_sTreg_0,0.01,<3.217,TRUE,FALSE,FALSE,Proliferation,s.u.,Basic proliferation rate of stabilized Treg,Stone2009/Bowers2017
lambda_fTH17_0,2,135.2840909,TRUE,FALSE,FALSE,Proliferation,10^3cells/pg,Basic proliferation rate of fixed TH17,Knobloch1985/Bowers2017
delta_DC,0.257,0.257,TRUE,FALSE,FALSE,Time delay,d,Duration of the journey of DC from LP to MLN,Stein2015/Sabine2020
delta_mTH17,0.257,0.257,TRUE,FALSE,FALSE,Time delay,d,Duration of the journey of moving TH17 from LP to MLN,Stein2015/Sabine2020
delta_mTreg,0.257,0.257,TRUE,FALSE,FALSE,Time delay,d,Duration of the journey of moving Treg from LP to MLN,Stein2015/Sabine2020
xi_TH17_DC,"[0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1, 0.1]",0.02-6.4,TRUE,TRUE,FALSE,Binding,mm^3/10^3cells.d,"Affinity rate of TH17 receptor with antigen on DC (list of size N_chemical +1, can change for all antigen group)",Stone2009
xi_nTc_DC,"[1,1,1,1,1,1,1,1,1,1]",0.02-6.4,TRUE,TRUE,FALSE,Binding,mm^3/10^3cells.d,"Affinity rate of nTc receptor with antigen on DC (list of size N_chemical +1, can change for all antigen group)",Stone2009
xi_TH17_Epi,"[0.706,0.706,0.706,0.706,0.706,0.706,0.706,0.706,0.706, 0.706]",0.00007629,TRUE,TRUE,FALSE,Binding,mm^2/10^3cells.d,"Affinity rate of TH17 receptor with antigen on Epi (list of size N_chemical +1, can change for all antigen group)",Stone2009
xi_TH17_Mac,"[0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001, 0.001]",0.00007629,TRUE,TRUE,FALSE,Binding,mm^3/10^3cells.d,"Affinity rate of TH17 receptor with antigen on Macrophages (list of size N_chemical +1, can change for all antigen group)",Stone2009
xi_TH17_sEpi,"[0.706,0.706,0.706,0.706,0.706,0.706,0.706,0.706,0.706, 0.706]",0.00007629,TRUE,TRUE,FALSE,Binding,mm^2/10^3cells.d,"Affinity rate of TH17 receptor with antigen on stem Epi (list of size N_chemical +1, can change for all antigen group)",Stone2009
xi_Treg_DC,"[0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1, 0.1]",0.02-6.4,TRUE,TRUE,FALSE,Binding,mm^3/10^3cells.d,"Affinity rate of Treg receptor with antigen on DC (list of size N_chemical +1, can change for all antigen group)",Stone2009
xi_Treg_Epi,"[0.706,0.706,0.706,0.706,0.706,0.706,0.706,0.706,0.706, 0.706]",0.00007629,TRUE,TRUE,FALSE,Binding,mm^2/10^3cells.d,"Affinity rate of Treg receptor with antigen on Epi (list of size N_chemical +1, can change for all antigen group)",Stone2009
xi_Treg_Mac,"[0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001, 0.001]",0.00007629,TRUE,TRUE,FALSE,Binding,mm^3/10^3cells.d,"Affinity rate of Treg receptor with antigen on Macrophages (list of size N_chemical +1, can change for all antigen group)",Stone2009
xi_Treg_sEpi,"[0.706,0.706,0.706,0.706,0.706,0.706,0.706,0.706,0.706, 0.706]",0.00007629,TRUE,TRUE,FALSE,Binding,mm^2/10^3cells.d,"Affinity rate of Treg receptor with antigen on stem Epi (list of size N_chemical +1, can change for all antigen group)",Stone2009
Ag_load,"[200,200,200,200,200,200,200,200,200,200]",20000,TRUE,TRUE,FALSE,Model Setting,pg/mm^3,Abundance of Antigen in the Lumen,Brown1978
Pi_CCL2_Mac_Ag,"[0.00013333,0.00013333,0.00013333,0.00013333,0.00013333,0.00013333,0.00013333,0.00013333,0.00013333, 0.00013333]",0.000266667,TRUE,TRUE,FALSE,Production,pg/10^3cells.d,Production of CCL2 by Macrophage due to their antigen,Knobloch1985
Pi_IL10_Mac_Ag,"[0,0,0,0,0,0,0,0,0, 0]",0.0176,TRUE,TRUE,FALSE,Production,pg/10^3cells.d,Production of IL10 by Macrophage due to their antigen,Chaundry2011
Pi_IL1Beta_23_Mac_Ag,"[0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002, 0.00000002]",0.0008,TRUE,TRUE,FALSE,Production,pg/10^3cells.d,Production of IL1Beta-23 by Macrophage due to their antigen,Knobloch1985
Pi_IL2_eDC,"[0,0,0,0,0,0,0,0,0, 0]",5.28,TRUE,TRUE,FALSE,Production,pg/10^3cells.d,Production of IL2 by effector DC,Kuribayashi2018/Donohue1983
Pi_IL2_tDC,"[5.28,5.28,5.28,5.28,5.28,5.28,5.28,5.28,5.28, 5.28]",5.28,TRUE,TRUE,FALSE,Production,pg/10^3cells.d,Production of IL2 by tolerogenic DC,Kuribayashi2018/Donohue1983
Pi_IL6_eDC,"[0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5, 0.5]",3.52,TRUE,TRUE,FALSE,Production,pg/10^3cells.d,Production of IL6 by effector DC,Kuribayashi2018/Donohue1983
Pi_TGFBeta_eDC,"[1.173333333,1.173333333,1.173333333,1.173333333,1.173333333,1.173333333,1.173333333,1.173333333,1.173333333, 1.173333333]",1.173333333,TRUE,TRUE,FALSE,Production,pg/10^3cells.d,Production of TGF-Beta by effector DC,
Pi_TGFBeta_Mac_Ag,"[0,0,0,0,0,0,0,0,0, 0]",0.000533333,TRUE,TRUE,FALSE,Production,pg/10^3cells.d,Production of TGF-Beta by Macrophage due to their antigen,
Pi_TGFBeta_tDC,"[1.173333333,1.173333333,1.173333333,1.173333333,1.173333333,1.173333333,1.173333333,1.173333333,1.173333333, 1.173333333]",1.173333333,TRUE,TRUE,FALSE,Production,pg/10^3cells.d,Production of TGF-Beta by tolerogenic DC,
Pi_CCL25_Epi_Ag,"[1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2, 1.2]",0.44,TRUE,TRUE,FALSE,Production,pg/10^3cells.d.mm,Production of CCL25 by Epithelial cell due to their antigen,Knobloch1985
Pi_CCL25_sEpi_Ag,"[1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2, 1.2]",0.44,TRUE,TRUE,FALSE,Production,pg/10^3cells.d.mm,Producetion of CCL25 by stem Epithelial cell due to their antigen,Knobloch1985
Pi_TGFBeta_Epi_Ag,"[0.0352,0.0352,0.0352,0.0352,0.0352,0.0352,0.0352,0.0352,0.0352, 0.0352]",0.0352,TRUE,TRUE,FALSE,Production,pg/10^3cells.d.mm,Production of TGF-Beta by Epithelial cell due to their antigen,
Pi_SAA_Epi_Ag,"[0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05, 0.05]",1,TRUE,TRUE,FALSE,Production,s.u.,Production of SAA by Epithelial cell due to their antigen,Knobloch1985
Pi_SAA_sEpi_Ag,"[0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05, 0.05]",1,TRUE,TRUE,FALSE,Production,s.u.,Production of SAA by stem Epithelial cell due to their antigen,Knobloch1985
n_Epi,75,1,TRUE,FALSE,FALSE,Number of sites,#,Number of available site for antigens on a Epithelial cell,Shin2006
